label,slug,source,motion_json,features_npz,quality,duration,frames
anh em,anh_em,Dataset/Videos/W00013N.mp4,motions/anh_em/w00013n.json,features/anh_em/w00013n.npz,0.5125,4.004,60
anh em,anh_em,Dataset/Videos/W00013T.mp4,motions/anh_em/w00013t.json,features/anh_em/w00013t.npz,0.5098,4.004,60
anh họ,anh_ho,Dataset/Videos/W00014N.mp4,motions/anh_ho/w00014n.json,features/anh_ho/w00014n.npz,0.5715,4.5045,60
anh họ,anh_ho,Dataset/Videos/W00014T.mp4,motions/anh_ho/w00014t.json,features/anh_ho/w00014t.npz,0.5715,4.5045,60
anh hùng,anh_hung,Dataset/Videos/W00015.mp4,motions/anh_hung/w00015.json,features/anh_hung/w00015.npz,0.5125,3.4034,60
anh rể,anh_re,Dataset/Videos/W00018B.mp4,motions/anh_re/w00018b.json,features/anh_re/w00018b.npz,0.5537,2.5025,60
anh rể,anh_re,Dataset/Videos/W00018N.mp4,motions/anh_re/w00018n.json,features/anh_re/w00018n.npz,0.5221,3.4034,60
anh rể,anh_re,Dataset/Videos/W00018T.mp4,motions/anh_re/w00018t.json,features/anh_re/w00018t.npz,0.5189,3.4034,60
anh ruột,anh_ruot,Dataset/Videos/W00019B.mp4,motions/anh_ruot/w00019b.json,features/anh_ruot/w00019b.npz,0.5226,5.9059,60
anh ruột,anh_ruot,Dataset/Videos/W00019N.mp4,motions/anh_ruot/w00019n.json,features/anh_ruot/w00019n.npz,0.5294,4.1708,60
anh ruột,anh_ruot,Dataset/Videos/W00019T.mp4,motions/anh_ruot/w00019t.json,features/anh_ruot/w00019t.npz,0.5294,4.1708,60
anh vợ,anh_vo,Dataset/Videos/W00020.mp4,motions/anh_vo/w00020.json,features/anh_vo/w00020.npz,0.6413,4.5045,60
sáng,sang,Dataset/Videos/W00024.mp4,motions/sang/w00024.json,features/sang/w00024.npz,0.8282,2.9196,60
ao chuôm,ao_chuom,Dataset/Videos/W00026.mp4,motions/ao_chuom/w00026.json,features/ao_chuom/w00026.npz,0.6493,4.638,60
ảo thuật,ao_thuat,Dataset/Videos/W00027.mp4,motions/ao_thuat/w00027.json,features/ao_thuat/w00027.npz,0.6243,3.637,60
áo,ao,Dataset/Videos/W00028.mp4,motions/ao/w00028.json,features/ao/w00028.npz,0.5275,3.9706,60
áo ấm,ao_am,Dataset/Videos/W00029.mp4,motions/ao_am/w00029.json,features/ao_am/w00029.npz,0.7383,3.7704,60
áo cánh,ao_canh,Dataset/Videos/W00030.mp4,motions/ao_canh/w00030.json,features/ao_canh/w00030.npz,0.6982,3.2699,60
áo đồng phục,ao_ong_phuc,Dataset/Videos/W00032B.mp4,motions/ao_ong_phuc/w00032b.json,features/ao_ong_phuc/w00032b.npz,0.5357,5.8392,60
áo đồng phục,ao_ong_phuc,Dataset/Videos/W00032N.mp4,motions/ao_ong_phuc/w00032n.json,features/ao_ong_phuc/w00032n.npz,0.6064,5.372,60
áo đồng phục,ao_ong_phuc,Dataset/Videos/W00032T.mp4,motions/ao_ong_phuc/w00032t.json,features/ao_ong_phuc/w00032t.npz,0.6023,5.372,60
áo len,ao_len,Dataset/Videos/W00033.mp4,motions/ao_len/w00033.json,features/ao_len/w00033.npz,0.675,3.5369,60
áo phao,ao_phao,Dataset/Videos/W00034.mp4,motions/ao_phao/w00034.json,features/ao_phao/w00034.npz,0.6275,4.3377,60
áo phông,ao_phong,Dataset/Videos/W00035B.mp4,motions/ao_phong/w00035b.json,features/ao_phong/w00035b.npz,0.5301,5.2386,60
áo phông,ao_phong,Dataset/Videos/W00035N.mp4,motions/ao_phong/w00035n.json,features/ao_phong/w00035n.npz,0.5902,5.372,60
áo phông,ao_phong,Dataset/Videos/W00035T.mp4,motions/ao_phong/w00035t.json,features/ao_phong/w00035t.npz,0.6014,5.3053,60
áp phích,ap_phich,Dataset/Videos/W00036.mp4,motions/ap_phich/w00036.json,features/ap_phich/w00036.npz,0.6658,4.7047,60
ăn diện,an_dien,Dataset/Videos/W00039.mp4,motions/an_dien/w00039.json,features/an_dien/w00039.npz,0.508,4.8048,60
ăn hối lộ,an_hoi_lo,Dataset/Videos/W00040.mp4,motions/an_hoi_lo/w00040.json,features/an_hoi_lo/w00040.npz,0.6338,4.7381,60
ăn uống,an_uong,Dataset/Videos/W00042.mp4,motions/an_uong/w00042.json,features/an_uong/w00042.npz,0.4904,9.3427,60
ăn vặt,an_vat,Dataset/Videos/W00043.mp4,motions/an_vat/w00043.json,features/an_vat/w00043.npz,0.6231,3.9706,60
ăn xin,an_xin,Dataset/Videos/W00044.mp4,motions/an_xin/w00044.json,features/an_xin/w00044.npz,0.4845,3.8705,60
âm thanh,am_thanh,Dataset/Videos/W00045.mp4,motions/am_thanh/w00045.json,features/am_thanh/w00045.npz,0.6254,3.9373,60
ầm ĩ,am_i,Dataset/Videos/W00048.mp4,motions/am_i/w00048.json,features/am_i/w00048.npz,0.6654,3.4034,60
ẩm mốc,am_moc,Dataset/Videos/W00049.mp4,motions/am_moc/w00049.json,features/am_moc/w00049.npz,0.5695,5.1385,60
ẩm ướt,am_uot,Dataset/Videos/W00050.mp4,motions/am_uot/w00050.json,features/am_uot/w00050.npz,0.5151,4.2042,60
ấm áp,am_ap,Dataset/Videos/W00051.mp4,motions/am_ap/w00051.json,features/am_ap/w00051.npz,0.738,3.2699,60
ấm đun nước,am_un_nuoc,Dataset/Videos/W00052.mp4,motions/am_un_nuoc/w00052.json,features/am_un_nuoc/w00052.npz,0.4577,5.8392,60
ấm no,am_no,Dataset/Videos/W00053.mp4,motions/am_no/w00053.json,features/am_no/w00053.npz,0.5524,5.3053,60
ấm trà,am_tra,Dataset/Videos/W00055.mp4,motions/am_tra/w00055.json,features/am_tra/w00055.npz,0.5137,4.5045,60
ân hận,an_han,Dataset/Videos/W00057B.mp4,motions/an_han/w00057b.json,features/an_han/w00057b.npz,0.5102,4.7381,60
ân hận,an_han,Dataset/Videos/W00057N.mp4,motions/an_han/w00057n.json,features/an_han/w00057n.npz,0.4925,3.8038,60
ân hận,an_han,Dataset/Videos/W00057T.mp4,motions/an_han/w00057t.json,features/an_han/w00057t.npz,0.5022,4.2042,60
ấn,an,Dataset/Videos/W00059.mp4,motions/an/w00059.json,features/an/w00059.npz,0.6365,4.5045,60
ấn tượng,an_tuong,Dataset/Videos/W00061.mp4,motions/an_tuong/w00061.json,features/an_tuong/w00061.npz,0.4741,4.8048,60
Âu Cơ,au_co,Dataset/Videos/W00062.mp4,motions/au_co/w00062.json,features/au_co/w00062.npz,0.4952,3.8038,60
Ba chân bốn cẳng,ba_chan_bon_cang,Dataset/Videos/W00065.mp4,motions/ba_chan_bon_cang/w00065.json,features/ba_chan_bon_cang/w00065.npz,0.5005,4.9716,60
Bà Nà,ba_na,Dataset/Videos/W00067.mp4,motions/ba_na/w00067.json,features/ba_na/w00067.npz,0.7336,4.4378,60
Bà Rịa - Vũng Tàu,ba_ria_vung_tau,Dataset/Videos/W00068.mp4,motions/ba_ria_vung_tau/w00068.json,features/ba_ria_vung_tau/w00068.npz,0.617,5.2386,60
triệu phú,trieu_phu,Dataset/Videos/W00069.mp4,motions/trieu_phu/w00069.json,features/trieu_phu/w00069.npz,0.5431,4.2125,60
Bạc Liêu,bac_lieu,Dataset/Videos/W00070.mp4,motions/bac_lieu/w00070.json,features/bac_lieu/w00070.npz,0.6427,5.372,60
bài báo,bai_bao,Dataset/Videos/W00071.mp4,motions/bai_bao/w00071.json,features/bai_bao/w00071.npz,0.6605,3.9039,60
bài thơ,bai_tho,Dataset/Videos/W00075B.mp4,motions/bai_tho/w00075b.json,features/bai_tho/w00075b.npz,0.4969,5.9059,60
bài thơ,bai_tho,Dataset/Videos/W00075N.mp4,motions/bai_tho/w00075n.json,features/bai_tho/w00075n.npz,0.6725,4.3043,60
bài thơ,bai_tho,Dataset/Videos/W00075T.mp4,motions/bai_tho/w00075t.json,features/bai_tho/w00075t.npz,0.6775,4.3043,60
hệ bài tiết,he_bai_tiet,Dataset/Videos/W00076.mp4,motions/he_bai_tiet/w00076.json,features/he_bai_tiet/w00076.npz,0.4533,5.0384,60
Bãi biển Vũng Tàu,bai_bien_vung_tau,Dataset/Videos/W00079.mp4,motions/bai_bien_vung_tau/w00079.json,features/bai_bien_vung_tau/w00079.npz,0.6467,5.372,60
bãi cát,bai_cat,Dataset/Videos/W00081.mp4,motions/bai_cat/w00081.json,features/bai_cat/w00081.npz,0.7315,4.6046,60
bãi cỏ,bai_co,Dataset/Videos/W00082.mp4,motions/bai_co/w00082.json,features/bai_co/w00082.npz,0.6377,4.9383,60
bãi đỗ xe (ô tô),bai_o_xe_o_to,Dataset/Videos/W00083.mp4,motions/bai_o_xe_o_to/w00083.json,features/bai_o_xe_o_to/w00083.npz,0.5768,6.0727,60
bãi tắm,bai_tam,Dataset/Videos/W00084.mp4,motions/bai_tam/w00084.json,features/bai_tam/w00084.npz,0.5671,4.3377,60
ban đêm,ban_em,Dataset/Videos/W00086B.mp4,motions/ban_em/w00086b.json,features/ban_em/w00086b.npz,0.7763,4.6046,60
ban đêm,ban_em,Dataset/Videos/W00086N.mp4,motions/ban_em/w00086n.json,features/ban_em/w00086n.npz,0.6183,4.9716,60
ban đêm,ban_em,Dataset/Videos/W00086T.mp4,motions/ban_em/w00086t.json,features/ban_em/w00086t.npz,0.6161,4.9716,60
ban giám hiệu,ban_giam_hieu,Dataset/Videos/W00087.mp4,motions/ban_giam_hieu/w00087.json,features/ban_giam_hieu/w00087.npz,0.6197,4.9049,60
ban ngày,ban_ngay,Dataset/Videos/W00089.mp4,motions/ban_ngay/w00089.json,features/ban_ngay/w00089.npz,0.7449,3.8789,60
bàn bạc,ban_bac,Dataset/Videos/W00091.mp4,motions/ban_bac/w00091.json,features/ban_bac/w00091.npz,0.6483,5.2719,60
bàn chải đánh răng,ban_chai_anh_rang,Dataset/Videos/W00092.mp4,motions/ban_chai_anh_rang/w00092.json,features/ban_chai_anh_rang/w00092.npz,0.4679,4.1375,60
bàn chân,ban_chan,Dataset/Videos/W00093.mp4,motions/ban_chan/w00093.json,features/ban_chan/w00093.npz,0.5679,5.8725,60
bàn ghế,ban_ghe,Dataset/Videos/W00094.mp4,motions/ban_ghe/w00094.json,features/ban_ghe/w00094.npz,0.5878,6.3397,60
bàn là,ban_la,Dataset/Videos/W00095.mp4,motions/ban_la/w00095.json,features/ban_la/w00095.npz,0.654,5.1718,60
bàn phím (máy vi tính),ban_phim_may_vi_tinh,Dataset/Videos/W00096.mp4,motions/ban_phim_may_vi_tinh/w00096.json,features/ban_phim_may_vi_tinh/w00096.npz,0.6828,5.5722,60
bàn tay,ban_tay,Dataset/Videos/W00097.mp4,motions/ban_tay/w00097.json,features/ban_tay/w00097.npz,0.5849,6.1395,60
bàn tán,ban_tan,Dataset/Videos/W00098.mp4,motions/ban_tan/w00098.json,features/ban_tan/w00098.npz,0.6327,8.2082,60
bản đồ Việt Nam,ban_o_viet_nam,Dataset/Videos/W00099B.mp4,motions/ban_o_viet_nam/w00099b.json,features/ban_o_viet_nam/w00099b.npz,0.7229,5.2052,60
bản đồ Việt Nam,ban_o_viet_nam,Dataset/Videos/W00099N.mp4,motions/ban_o_viet_nam/w00099n.json,features/ban_o_viet_nam/w00099n.npz,0.4957,4.2376,60
bản đồ Việt Nam,ban_o_viet_nam,Dataset/Videos/W00099T.mp4,motions/ban_o_viet_nam/w00099t.json,features/ban_o_viet_nam/w00099t.npz,0.4931,4.2376,60
bản làng,ban_lang,Dataset/Videos/W00100.mp4,motions/ban_lang/w00100.json,features/ban_lang/w00100.npz,0.5613,6.006,60
bản lề,ban_le,Dataset/Videos/W00101.mp4,motions/ban_le/w00101.json,features/ban_le/w00101.npz,0.5979,5.0717,60
bản nhạc,ban_nhac,Dataset/Videos/W00102.mp4,motions/ban_nhac/w00102.json,features/ban_nhac/w00102.npz,0.5537,6.9736,60
bản sao (chỉ người),ban_sao_chi_nguoi,Dataset/Videos/W00103.mp4,motions/ban_sao_chi_nguoi/w00103.json,features/ban_sao_chi_nguoi/w00103.npz,0.5794,3.9706,60
bản thân,ban_than,Dataset/Videos/W00104.mp4,motions/ban_than/w00104.json,features/ban_than/w00104.npz,0.5766,5.8392,60
bán buôn,ban_buon,Dataset/Videos/W00105.mp4,motions/ban_buon/w00105.json,features/ban_buon/w00105.npz,0.5426,6.3063,60
bán đảo,ban_ao,Dataset/Videos/W00106.mp4,motions/ban_ao/w00106.json,features/ban_ao/w00106.npz,0.6245,6.4398,60
bán hàng,ban_hang,Dataset/Videos/W00107B.mp4,motions/ban_hang/w00107b.json,features/ban_hang/w00107b.npz,0.7278,3.9039,60
bán hàng,ban_hang,Dataset/Videos/W00107N.mp4,motions/ban_hang/w00107n.json,features/ban_hang/w00107n.npz,0.6139,3.9039,60
bán hàng,ban_hang,Dataset/Videos/W00107T.mp4,motions/ban_hang/w00107t.json,features/ban_hang/w00107t.npz,0.6028,3.9039,60
bán kính (hình tròn),ban_kinh_hinh_tron,Dataset/Videos/W00108.mp4,motions/ban_kinh_hinh_tron/w00108.json,features/ban_kinh_hinh_tron/w00108.npz,0.5587,5.8725,60
bạn,ban,Dataset/Videos/W00110B.mp4,motions/ban/w00110b.json,features/ban/w00110b.npz,0.7566,8.7754,60
bạn,ban,Dataset/Videos/W00110N.mp4,motions/ban/w00110n.json,features/ban/w00110n.npz,0.6815,3.3367,60
bạn,ban,Dataset/Videos/W00110T.mp4,motions/ban/w00110t.json,features/ban/w00110t.npz,0.6815,3.3367,60
bạn gái,ban_gai,Dataset/Videos/W00111B.mp4,motions/ban_gai/w00111b.json,features/ban_gai/w00111b.npz,0.5603,5.6723,60
bạn gái,ban_gai,Dataset/Videos/W00111N.mp4,motions/ban_gai/w00111n.json,features/ban_gai/w00111n.npz,0.4707,5.8392,60
bạn gái,ban_gai,Dataset/Videos/W00111T.mp4,motions/ban_gai/w00111t.json,features/ban_gai/w00111t.npz,0.4707,5.8392,60
bạn trai,ban_trai,Dataset/Videos/W00112B.mp4,motions/ban_trai/w00112b.json,features/ban_trai/w00112b.npz,0.543,4.4378,60
bạn trai,ban_trai,Dataset/Videos/W00112N.mp4,motions/ban_trai/w00112n.json,features/ban_trai/w00112n.npz,0.4796,5.1051,60
bạn trai,ban_trai,Dataset/Videos/W00112T.mp4,motions/ban_trai/w00112t.json,features/ban_trai/w00112t.npz,0.4758,5.1718,60
bảng học sinh,bang_hoc_sinh,Dataset/Videos/W00113.mp4,motions/bang_hoc_sinh/w00113.json,features/bang_hoc_sinh/w00113.npz,0.7315,3.8372,60
bảng chia,bang_chia,Dataset/Videos/W00115N.mp4,motions/bang_chia/w00115n.json,features/bang_chia/w00115n.npz,0.642,4.2709,60
bảng chia,bang_chia,Dataset/Videos/W00115T.mp4,motions/bang_chia/w00115t.json,features/bang_chia/w00115t.npz,0.6445,4.2709,60
bảng chỉ dẫn,bang_chi_dan,Dataset/Videos/W00116.mp4,motions/bang_chi_dan/w00116.json,features/bang_chi_dan/w00116.npz,0.6489,4.5712,60
bảng chữ cái ngón tay,bang_chu_cai_ngon_tay,Dataset/Videos/W00118.mp4,motions/bang_chu_cai_ngon_tay/w00118.json,features/bang_chu_cai_ngon_tay/w00118.npz,0.7011,4.5712,60
bảng cộng,bang_cong,Dataset/Videos/W00119B.mp4,motions/bang_cong/w00119b.json,features/bang_cong/w00119b.npz,0.794,5.7391,60
bảng cộng,bang_cong,Dataset/Videos/W00119N.mp4,motions/bang_cong/w00119n.json,features/bang_cong/w00119n.npz,0.5758,3.9373,60
bảng cộng,bang_cong,Dataset/Videos/W00119T.mp4,motions/bang_cong/w00119t.json,features/bang_cong/w00119t.npz,0.7922,5.7391,60
bảng cửu chương,bang_cuu_chuong,Dataset/Videos/W00120.mp4,motions/bang_cuu_chuong/w00120.json,features/bang_cuu_chuong/w00120.npz,0.6503,3.8372,60
bảng đen,bang_en,Dataset/Videos/W00121B.mp4,motions/bang_en/w00121b.json,features/bang_en/w00121b.npz,0.7463,5.1718,60
bảng đen,bang_en,Dataset/Videos/W00121N.mp4,motions/bang_en/w00121n.json,features/bang_en/w00121n.npz,0.5401,4.9049,60
bảng đen,bang_en,Dataset/Videos/W00121T.mp4,motions/bang_en/w00121t.json,features/bang_en/w00121t.npz,0.7379,5.1718,60
hãng máy bay,hang_may_bay,Dataset/Videos/W00122.mp4,motions/hang_may_bay/w00122.json,features/hang_may_bay/w00122.npz,0.6783,3.3367,60
bảng màu,bang_mau,Dataset/Videos/W00123B.mp4,motions/bang_mau/w00123b.json,features/bang_mau/w00123b.npz,0.6266,5.5722,60
bảng nhân,bang_nhan,Dataset/Videos/W00124B.mp4,motions/bang_nhan/w00124b.json,features/bang_nhan/w00124b.npz,0.8344,5.2386,60
bảng nhân,bang_nhan,Dataset/Videos/W00124N.mp4,motions/bang_nhan/w00124n.json,features/bang_nhan/w00124n.npz,0.6242,4.2709,60
bảng nhân,bang_nhan,Dataset/Videos/W00124T.mp4,motions/bang_nhan/w00124t.json,features/bang_nhan/w00124t.npz,0.8365,5.2386,60
hãng xe máy,hang_xe_may,Dataset/Videos/W00125.mp4,motions/hang_xe_may/w00125.json,features/hang_xe_may/w00125.npz,0.7848,3.0864,60
bảng trừ,bang_tru,Dataset/Videos/W00126B.mp4,motions/bang_tru/w00126b.json,features/bang_tru/w00126b.npz,0.773,4.5379,60
bảng trừ,bang_tru,Dataset/Videos/W00126N.mp4,motions/bang_tru/w00126n.json,features/bang_tru/w00126n.npz,0.6178,4.1708,60
bảng trừ,bang_tru,Dataset/Videos/W00126T.mp4,motions/bang_tru/w00126t.json,features/bang_tru/w00126t.npz,0.773,4.5379,60
bánh bột lọc,banh_bot_loc,Dataset/Videos/W00127.mp4,motions/banh_bot_loc/w00127.json,features/banh_bot_loc/w00127.npz,0.5594,4.5045,60
bánh cốm,banh_com,Dataset/Videos/W00128.mp4,motions/banh_com/w00128.json,features/banh_com/w00128.npz,0.594,4.7047,60
bánh cuốn,banh_cuon,Dataset/Videos/W00129B.mp4,motions/banh_cuon/w00129b.json,features/banh_cuon/w00129b.npz,0.7384,5.3053,60
bánh cuốn,banh_cuon,Dataset/Videos/W00129N.mp4,motions/banh_cuon/w00129n.json,features/banh_cuon/w00129n.npz,0.6023,4.7714,60
bánh cuốn,banh_cuon,Dataset/Videos/W00129T.mp4,motions/banh_cuon/w00129t.json,features/banh_cuon/w00129t.npz,0.6227,4.7714,60
bánh Trung Thu,banh_trung_thu,Dataset/Videos/W00130.mp4,motions/banh_trung_thu/w00130.json,features/banh_trung_thu/w00130.npz,0.6028,3.9039,60
bánh đa,banh_a,Dataset/Videos/W00131.mp4,motions/banh_a/w00131.json,features/banh_a/w00131.npz,0.5545,6.8402,60
bánh đúc,banh_uc,Dataset/Videos/W00132.mp4,motions/banh_uc/w00132.json,features/banh_uc/w00132.npz,0.6344,4.8048,60
bánh gai,banh_gai,Dataset/Videos/W00133.mp4,motions/banh_gai/w00133.json,features/banh_gai/w00133.npz,0.5628,3.9706,60
bánh giầy,banh_giay,Dataset/Videos/W00134.mp4,motions/banh_giay/w00134.json,features/banh_giay/w00134.npz,0.6048,5.4054,60
bánh giò,banh_gio,Dataset/Videos/W00135.mp4,motions/banh_gio/w00135.json,features/banh_gio/w00135.npz,0.6182,4.7714,60
bánh gối,banh_goi,Dataset/Videos/W00136.mp4,motions/banh_goi/w00136.json,features/banh_goi/w00136.npz,0.6548,9.1091,60
bánh mì,banh_mi,Dataset/Videos/W00137B.mp4,motions/banh_mi/w00137b.json,features/banh_mi/w00137b.npz,0.5114,4.7714,60
bánh mì,banh_mi,Dataset/Videos/W00137N.mp4,motions/banh_mi/w00137n.json,features/banh_mi/w00137n.npz,0.6161,4.9716,60
bánh mì,banh_mi,Dataset/Videos/W00137T.mp4,motions/banh_mi/w00137t.json,features/banh_mi/w00137t.npz,0.6161,4.9716,60
bánh pizza,banh_pizza,Dataset/Videos/W00140.mp4,motions/banh_pizza/w00140.json,features/banh_pizza/w00140.npz,0.4893,5.1385,60
bánh pía,banh_pia,Dataset/Videos/W00141.mp4,motions/banh_pia/w00141.json,features/banh_pia/w00141.npz,0.6669,5.372,60
hãng tàu thuyền,hang_tau_thuyen,Dataset/Videos/W00142.mp4,motions/hang_tau_thuyen/w00142.json,features/hang_tau_thuyen/w00142.npz,0.6575,3.8789,60
bánh xe,banh_xe,Dataset/Videos/W00144.mp4,motions/banh_xe/w00144.json,features/banh_xe/w00144.npz,0.5573,16.2162,60
bao giờ?,bao_gio,Dataset/Videos/W00145B.mp4,motions/bao_gio/w00145b.json,features/bao_gio/w00145b.npz,0.8722,3.9039,60
bao giờ?,bao_gio,Dataset/Videos/W00145N.mp4,motions/bao_gio/w00145n.json,features/bao_gio/w00145n.npz,0.5762,4.9383,60
bao giờ?,bao_gio,Dataset/Videos/W00145T.mp4,motions/bao_gio/w00145t.json,features/bao_gio/w00145t.npz,0.8722,3.9039,60
bao la,bao_la,Dataset/Videos/W00146.mp4,motions/bao_la/w00146.json,features/bao_la/w00146.npz,0.6437,6.5732,60
bao nhiêu?,bao_nhieu,Dataset/Videos/W00147.mp4,motions/bao_nhieu/w00147.json,features/bao_nhieu/w00147.npz,0.4907,4.4711,60
bao tay (dùng cho trẻ sơ sinh),bao_tay_dung_cho_tre_so_sinh,Dataset/Videos/W00150.mp4,motions/bao_tay_dung_cho_tre_so_sinh/w00150.json,features/bao_tay_dung_cho_tre_so_sinh/w00150.npz,0.7156,4.8048,60
bảo đảm,bao_am,Dataset/Videos/W00152.mp4,motions/bao_am/w00152.json,features/bao_am/w00152.npz,0.5103,4.9383,60
bảo hiểm,bao_hiem,Dataset/Videos/W00153.mp4,motions/bao_hiem/w00153.json,features/bao_hiem/w00153.npz,0.5345,7.8745,60
lưu,luu,Dataset/Videos/W00155.mp4,motions/luu/w00155.json,features/luu/w00155.npz,0.6931,3.003,60
bảo tàng,bao_tang,Dataset/Videos/W00156.mp4,motions/bao_tang/w00156.json,features/bao_tang/w00156.npz,0.6464,5.3053,60
bảo thủ,bao_thu,Dataset/Videos/W00157.mp4,motions/bao_thu/w00157.json,features/bao_thu/w00157.npz,0.5627,5.4054,60
tồn tại,ton_tai,Dataset/Videos/W00158.mp4,motions/ton_tai/w00158.json,features/ton_tai/w00158.npz,0.6286,3.7955,60
bảo vệ môi trường,bao_ve_moi_truong,Dataset/Videos/W00159B.mp4,motions/bao_ve_moi_truong/w00159b.json,features/bao_ve_moi_truong/w00159b.npz,0.9002,5.1051,60
bảo vệ môi trường,bao_ve_moi_truong,Dataset/Videos/W00159N.mp4,motions/bao_ve_moi_truong/w00159n.json,features/bao_ve_moi_truong/w00159n.npz,0.61,5.5055,60
bảo vệ môi trường,bao_ve_moi_truong,Dataset/Videos/W00159T.mp4,motions/bao_ve_moi_truong/w00159t.json,features/bao_ve_moi_truong/w00159t.npz,0.6277,5.5055,60
báo (con báo),bao_con_bao,Dataset/Videos/W00160B.mp4,motions/bao_con_bao/w00160b.json,features/bao_con_bao/w00160b.npz,0.8072,3.9373,60
báo (con báo),bao_con_bao,Dataset/Videos/W00160N.mp4,motions/bao_con_bao/w00160n.json,features/bao_con_bao/w00160n.npz,0.6299,4.6046,60
báo (con báo),bao_con_bao,Dataset/Videos/W00160T.mp4,motions/bao_con_bao/w00160t.json,features/bao_con_bao/w00160t.npz,0.6322,4.6046,60
báo cáo,bao_cao,Dataset/Videos/W00161.mp4,motions/bao_cao/w00161.json,features/bao_cao/w00161.npz,0.5472,3.9039,60
báo động,bao_ong,Dataset/Videos/W00163.mp4,motions/bao_ong/w00163.json,features/bao_ong/w00163.npz,0.5138,4.2376,60
báo thù,bao_thu,Dataset/Videos/W00166.mp4,motions/bao_thu/w00166.json,features/bao_thu/w00166.npz,0.5574,4.0707,60
bát,bat,Dataset/Videos/W00170.mp4,motions/bat/w00170.json,features/bat/w00170.npz,0.5082,5.005,60
bát hương,bat_huong,Dataset/Videos/W00171.mp4,motions/bat_huong/w00171.json,features/bat_huong/w00171.npz,0.6417,5.297,60
bát ngát,bat_ngat,Dataset/Videos/W00172.mp4,motions/bat_ngat/w00172.json,features/bat_ngat/w00172.npz,0.6663,5.005,60
làng gốm Bát Tràng,lang_gom_bat_trang,Dataset/Videos/W00173.mp4,motions/lang_gom_bat_trang/w00173.json,features/lang_gom_bat_trang/w00173.npz,0.5981,4.371,60
bay,bay,Dataset/Videos/W00174.mp4,motions/bay/w00174.json,features/bay/w00174.npz,0.6199,4.5379,60
xì hơi (đánh rắm),xi_hoi_anh_ram,Dataset/Videos/W00175.mp4,motions/xi_hoi_anh_ram/w00175.json,features/xi_hoi_anh_ram/w00175.npz,0.4843,3.3033,60
xì hơi (đánh rắm),xi_hoi_anh_ram,Dataset/Videos/W00175N.mp4,motions/xi_hoi_anh_ram/w00175n.json,features/xi_hoi_anh_ram/w00175n.npz,0.8061,2.3774,60
bay liệng (bay lượn),bay_lieng_bay_luon,Dataset/Videos/W00176.mp4,motions/bay_lieng_bay_luon/w00176.json,features/bay_lieng_bay_luon/w00176.npz,0.7396,5.0384,60
bắc bán cầu,bac_ban_cau,Dataset/Videos/W00179.mp4,motions/bac_ban_cau/w00179.json,features/bac_ban_cau/w00179.npz,0.6,4.3377,60
Bắc bộ,bac_bo,Dataset/Videos/W00181.mp4,motions/bac_bo/w00181.json,features/bac_bo/w00181.npz,0.6155,4.371,60
Bắc Giang,bac_giang,Dataset/Videos/W00182.mp4,motions/bac_giang/w00182.json,features/bac_giang/w00182.npz,0.5938,4.5045,60
Bắc Kạn,bac_kan,Dataset/Videos/W00183.mp4,motions/bac_kan/w00183.json,features/bac_kan/w00183.npz,0.6831,4.004,60
bắc nam,bac_nam,Dataset/Videos/W00184N.mp4,motions/bac_nam/w00184n.json,features/bac_nam/w00184n.npz,0.4707,5.5722,60
bắc nam,bac_nam,Dataset/Videos/W00184T.mp4,motions/bac_nam/w00184t.json,features/bac_nam/w00184t.npz,0.4707,5.5722,60
Bắc Ninh,bac_ninh,Dataset/Videos/W00185.mp4,motions/bac_ninh/w00185.json,features/bac_ninh/w00185.npz,0.9313,2.9613,60
bắn bi,ban_bi,Dataset/Videos/W00186B.mp4,motions/ban_bi/w00186b.json,features/ban_bi/w00186b.npz,0.487,4.6713,60
bắn bi,ban_bi,Dataset/Videos/W00186N.mp4,motions/ban_bi/w00186n.json,features/ban_bi/w00186n.npz,0.5709,4.2709,60
bắn bi,ban_bi,Dataset/Videos/W00186T.mp4,motions/ban_bi/w00186t.json,features/ban_bi/w00186t.npz,0.5709,4.2709,60
bắn súng,ban_sung,Dataset/Videos/W00187.mp4,motions/ban_sung/w00187.json,features/ban_sung/w00187.npz,0.4832,17.1838,60
băng bó,bang_bo,Dataset/Videos/W00188.mp4,motions/bang_bo/w00188.json,features/bang_bo/w00188.npz,0.5949,4.6046,60
băng chuyền,bang_chuyen,Dataset/Videos/W00189.mp4,motions/bang_chuyen/w00189.json,features/bang_chuyen/w00189.npz,0.6675,5.7724,60
băng dính,bang_dinh,Dataset/Videos/W00190.mp4,motions/bang_dinh/w00190.json,features/bang_dinh/w00190.npz,0.6338,4.7381,60
băng giá,bang_gia,Dataset/Videos/W00191.mp4,motions/bang_gia/w00191.json,features/bang_gia/w00191.npz,0.7156,5.0717,60
băng hình,bang_hinh,Dataset/Videos/W00192.mp4,motions/bang_hinh/w00192.json,features/bang_hinh/w00192.npz,0.4598,4.3377,60
Băng-la-đét (nước Băng-la-đét),bang_la_et_nuoc_bang_la_et,Dataset/Videos/W00193.mp4,motions/bang_la_et_nuoc_bang_la_et/w00193.json,features/bang_la_et_nuoc_bang_la_et/w00193.npz,0.4882,5.5722,60
bằng,bang,Dataset/Videos/W00194.mp4,motions/bang/w00194.json,features/bang/w00194.npz,0.556,4.7381,60
